,URL 주소,댓글작성자명,댓글작성일자,댓글 내용
25,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Yu-ka
            ",1개월 전,"アイドル (歌詞覚える用)

0:00
無敵の笑顔で荒らすメディア
知りたいその秘密ミステリアス
抜けてるとこさえ彼女のエリア
完璧で嘘つきな君は
天才的なアイドル様

0:15
今日何食べた？
好きな本は？
遊びに行くならどこに行くの？
何も食べてない
それは内緒
何を聞かれても
のらりくらり

0:28
そう淡々と
だけど燦々と
見えそうで見えない秘密は蜜の味
(0:33)
あれもないないない
これもないないない
好きなタイプは？
相手は？
さあ答えて

0:39
「誰かを好きになることなんて私分からなくてさ」
嘘か本当か知り得ない
(0:48)
そんな言葉にまた一人堕ちる
また好きにさせる

0:53
誰もが目を奪われていく
君は完璧で究極のアイドル
金輪際現れない
一番星の生まれ変わり
(1:05)
その笑顔で愛してるで
誰も彼も虜にしていく
その瞳がその言葉が
嘘でもそれは完全なアイ

1:17
はいはいあの子は特別です
我々はハナからおまけです
お星様の引き立て役Bです
(1:26)
全てがあの子のお陰なわけない
洒落臭い
妬み嫉妬なんてないわけがない
これはネタじゃない
からこそ許せない
完璧じゃない君じゃ許せない
自分を許せない
誰よりも強い君以外は認めない

1:40
誰もが信じ崇めてる
まさに最強で無敵のアイドル
弱点なんて見当たらない
一番星を宿している
(1:51)
弱いとこなんて見せちゃダメダメ
知りたくないとこは見せずに
唯一無二じゃなくちゃイヤイヤ
それこそ本物のアイ

2:04
得意の笑顔で沸かすメディア
隠しきるこの秘密だけは
愛してるって嘘で積むキャリア
これこそ私なりの愛だ
(2:17)
流れる汗も綺麗なアクア
ルビーを隠したこの瞼
歌い踊り舞う私はマリア
そう嘘はとびきりの愛だ

2:30
誰かに愛されたことも
誰かのこと愛したこともない
そんな私の嘘がいつか本当になること
信じてる

2:44
いつかきっと全部手に入れる
私はそう欲張りなアイドル
等身大でみんなのこと
ちゃんと愛したいから
(2:55)
今日も嘘をつくの
この言葉がいつか本当になる日を願って
それでもまだ
君と君にだけは言えずにいたけど
やっと言えた
これは絶対嘘じゃない
愛してる"
26,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              k.adomin
            ",8시간 전,YOASOBIの曲は原作リスペクトが完璧でストーリーに合わせて曲を感じれて良きです。
27,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              ゆうっち
            ",3일 전,"もう声優YOASOBIでいいんじゃね？
って思うくらい声質がいい。
めっちゃハマる。"
28,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              おにぎり
            ",1일 전,アクアとルビーを自然に歌詞に入れるの凄い！
29,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Nxkofit
            ",1일 전,Congrats for getting No 1 on Billboards!! LETS GO IDORUU GAMBATTEEEE
30,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              にょ
            ",2일 전,"何回聞いたらこの曲飽きるんだ…。
YOASOBI様ハンパないです。"
31,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              쏘플 soso playlist
            ",1개월 전(수정됨),"요즘 해외 차트 점령하고 있는 최애의 아이 OST입니다.
처음 들었을 때 호불호 갈리겠다 싶어서 안 올리고 있었는데
3번 정도 들으니까 너무 좋더라고요
애니 보고 다시 들으니까 또 다르게 느껴지고...
시간 나시는 분들은 한번 보세요 곧 넷플릭스에도 올라온대요!

요네즈켄시 킥백 들으러 가기
https://youtu.be/uEC3zTHvVhA"
32,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              모루
            ",3주 전,"“사랑한다는 거짓말로 쌓는 커리어”
아이돌이란 직업을 관통하는 완벽한 가사다…"
33,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              배레몬
            ",3주 전,"가사가 진짜 서사를 다 담고있네 미치게따,,, 너무 좋다"
34,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              지나가세요
            ",3주 전,1절은 팬들이 아이를 보는 시점 2절은 B코마치 다른멤버들이 아이를 보는 시점 3절은 아이가 자기자신을 보는 시점이라 너무 신박하고 가사하나하나가 너무 와닿음ㅜㅜ
35,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              유니콘
            ",4주 전,아이돌 자신 뿐 아니라 연예인 덕질하는 모든 팬들의 마음에 있는 명암을 노골적으로 표현한 가사가 인상적입니다 모든 게 다 거짓이라 해도 빠져들 수 밖에 없는 그 매력이 덕질의 시작이자 끝이죠
36,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              달의신
            ",3주 전,"요아소비가 레전드인건 알았지만 설마 35일만에 jpop 기록까지 갱신할줄은 누가알았겠나.
켄시,바운디,히게단 등 다른 일본 아티스트들도 좋아하지만 요아소비는 애니메이션+소설에 맞춘 노래와 가사가 정말 기가막힐정도로 좋음."
37,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              *ㅇ*
            ",1개월 전(수정됨),이 채널에서 이 노래가 나오다니...요아소비한테 맡긴 건 진짜 신의 한 수인 것 같음...정말 아이의 인생을 이렇게 잘 표현한 게 너무 대단한 것 같다고 생각함...아쿠아랑 루비가 가사로 나오는 게 진짜 충격임..
